iter	Passed	Remaining
784	8496	2327
785	8501	2314
786	8506	2302
787	8512	2290
788	8518	2278
789	8522	2265
790	8530	2253
791	8535	2241
792	8541	2229
793	8546	2217
794	8551	2205
795	8558	2193
796	8563	2181
797	8568	2168
798	8572	2156
799	8578	2144
800	8584	2132
801	8590	2120
802	8596	2109
803	8602	2097
804	8608	2085
805	8614	2073
806	8620	2061
807	8626	2049
808	8632	2038
809	8637	2026
810	8643	2014
811	8649	2002
812	8653	1990
813	8658	1978
814	8664	1966
815	8670	1955
816	8675	1943
817	8681	1931
818	8686	1919
819	8693	1908
820	8700	1896
821	8705	1885
822	8710	1873
823	8715	1861
824	8721	1850
825	8727	1838
826	8733	1826
827	8738	1815
828	8743	1803
829	8748	1791
830	8753	1780
831	8757	1768
832	8762	1756
833	8768	1745
834	8773	1733
835	8779	1722
836	8786	1711
837	8791	1699
838	8796	1687
839	8803	1676
840	8809	1665
841	8814	1654
842	8819	1642
843	8823	1630
844	8830	1619
845	8836	1608
846	8840	1596
847	8846	1585
848	8852	1574
849	8857	1563
850	8866	1552
851	8873	1541
852	8880	1530
853	8887	1519
854	8893	1508
855	8901	1497
856	8908	1486
857	8914	1475
858	8920	1464
859	8926	1453
860	8931	1441
861	8936	1430
862	8940	1419
863	8945	1408
864	8950	1396
865	8955	1385
866	8960	1374
867	8964	1363
868	8970	1352
869	8975	1341
870	8980	1330
871	8985	1318
872	8989	1307
873	8994	1296
874	8999	1285
875	9003	1274
876	9008	1263
877	9012	1252
878	9017	1241
879	9021	1230
880	9025	1219
881	9030	1208
882	9034	1197
883	9039	1186
884	9043	1175
885	9048	1164
886	9053	1153
887	9058	1142
888	9062	1131
889	9067	1120
890	9071	1109
891	9076	1098
892	9080	1088
893	9085	1077
894	9089	1066
895	9094	1055
896	9098	1044
897	9102	1033
898	9107	1023
899	9111	1012
900	9116	1001
901	9120	990
902	9125	980
903	9129	969
904	9133	958
905	9138	948
906	9143	937
907	9147	926
908	9152	916
909	9156	905
910	9161	895
911	9166	884
912	9170	873
913	9175	863
914	9179	852
915	9184	842
916	9188	831
917	9192	821
918	9197	810
919	9201	800
920	9206	789
921	9210	779
922	9214	768
923	9219	758
924	9224	747
925	9228	737
926	9233	727
927	9237	716
928	9242	706
929	9246	695
930	9251	685
931	9255	675
932	9260	664
933	9264	654
934	9269	644
935	9273	634
936	9277	623
937	9282	613
938	9286	603
939	9290	593
940	9295	582
941	9300	572
942	9305	562
943	9310	552
944	9315	542
945	9320	532
946	9324	521
947	9329	511
948	9333	501
949	9337	491
950	9341	481
951	9346	471
952	9350	461
953	9355	451
954	9359	441
955	9364	430
956	9368	420
957	9372	410
958	9376	400
959	9381	390
960	9385	380
961	9390	370
962	9394	360
963	9398	350
964	9402	341
965	9406	331
966	9410	321
967	9415	311
968	9419	301
969	9423	291
970	9427	281
971	9432	271
972	9436	261
973	9440	252
974	9444	242
975	9448	232
976	9453	222
977	9457	212
978	9461	202
979	9465	193
980	9469	183
981	9473	173
982	9478	163
983	9482	154
984	9486	144
985	9490	134
986	9494	125
987	9498	115
988	9502	105
989	9507	96
990	9511	86
991	9516	76
992	9521	67
993	9525	57
994	9530	47
995	9534	38
996	9538	28
997	9542	19
998	9546	9
999	9549	0
8
998	9443	9
999	9447	0

	9237	0

